txn_id,txn_date,description,amount
T10418,2026-07-01,Payment — NorthStar Bank Fees,-5212.55
T10075-DUP,2026-07-01,Customer payment — Union Freight Co,2226.75
T10075,2026-07-01,Customer payment — Union Freight Co,2226.75
T10375,2026-07-01,Payment — Cascade Equipment Rental,-3813.11
T10140,2026-07-01,Customer payment — Union Freight Co,758.27
T10142,2026-07-01,Customer payment — Maple Grove Clinic,4673.52
T10013,2026-07-01,Payment — Beacon Legal Group,-6790.66
T10373,2026-07-01,Customer payment — Brightline Media,1701.13
T10197,2026-07-01,Payment — Pinnacle Office Solutions,-6779.85
T10193,2026-07-01,Payment — Cascade Equipment Rental,-3847.94
T10065,2026-07-01,Payment — Cascade Equipment Rental,-458.83
T10229,2026-07-01,Customer payment — Silverline Technologies,8457.21
T10241,2026-07-01,Payment — Meridian Logistics,-6372.59
T10393,2026-07-01,Customer payment — Whitfield Manufacturing,13135.24
T10352,2026-07-01,Payment — Horizon Marketing,-6720.12
T10212,2026-07-02,Customer payment — Brightline Media,11283.98
T10047,2026-07-02,Payment — Summit Payroll Services,-7156.23
T10105,2026-07-02,Payment — Meridian Logistics,-916.56
T10411,2026-07-02,Customer payment — Maple Grove Clinic,11157.16
T10385,2026-07-02,Payment — Acme Supply Co,-3706.75
T10049,2026-07-02,Customer payment — Cedarwood Realty,9975.9
T10319,2026-07-02,Customer payment — Union Freight Co,8167.83
T10090,2026-07-02,Payment — Horizon Marketing,-7184.01
T10419,2026-07-02,Customer payment — Union Freight Co,16883.52
T10132,2026-07-02,Payment — Atlas Insurance Group,-2669.02
T10349,2026-07-02,Customer payment — Brightline Media,6184.98
T10371,2026-07-02,Payment — Meridian Logistics,-4555.6
T10181,2026-07-02,Payment — Riverside Property Mgmt,-9048.11
T10166,2026-07-02,Customer payment — Maple Grove Clinic,17299.38
T10174,2026-07-02,Customer payment — Granite Construction,16265.12
T10008,2026-07-02,Customer payment — Delta Retail Group,11496.78
T10192,2026-07-02,Customer payment — Brightline Media,4507.82
T10392,2026-07-03,Customer payment — Brightline Media,6546.33
T10346,2026-07-03,Payment — Atlas Insurance Group,-4203.13
T10293,2026-07-03,Payment — NorthStar Bank Fees,-4924.58
T10292,2026-07-03,Payment — Summit Payroll Services,-6090.88
T10206,2026-07-03,Payment — Meridian Logistics,-4876.48
T10268,2026-07-03,Payment — Horizon Marketing,-6404.32
T10135,2026-07-03,Payment — Vertex IT Services,-6059.41
T10093,2026-07-03,Payment — Crestwood Utilities,-8432.19
T10248,2026-07-03,Payment — Crestwood Utilities,-5923.25
T10146,2026-07-03,Payment — Summit Payroll Services,-797.08
T10256,2026-07-04,Payment — Beacon Legal Group,-1311.79
T10046,2026-07-04,Customer payment — Maple Grove Clinic,5926.78
T10066,2026-07-04,Customer payment — Union Freight Co,6083.69
T10202,2026-07-04,Payment — Meridian Logistics,-4807.82
T10104,2026-07-04,Payment — Beacon Legal Group,-8608.45
T10199,2026-07-04,Payment — Cascade Equipment Rental,-8522.29
T10388,2026-07-04,Payment — NorthStar Bank Fees,-6686.33
T10327,2026-07-04,Customer payment — Union Freight Co,1886.1
T10359,2026-07-04,Payment — Riverside Property Mgmt,-4854.76
T10018,2026-07-04,Payment — Riverside Property Mgmt,-2764.54
T10338,2026-07-04,Payment — Cascade Equipment Rental,-3464.54
T10390,2026-07-04,Payment — Riverside Property Mgmt,-6813.25
T10225,2026-07-05,Customer payment — Silverline Technologies,5430.69
T10111,2026-07-05,Customer payment — Silverline Technologies,10217.12
T10127,2026-07-05,Customer payment — Delta Retail Group,1239.51
T10159,2026-07-05,Customer payment — Whitfield Manufacturing,3764.29
T10149,2026-07-05,Payment — Pinnacle Office Solutions,-9419.58
T10235,2026-07-05,Payment — Beacon Legal Group,-553.91
T10266,2026-07-05,Payment — Horizon Marketing,-3767.99
T10079,2026-07-05,Payment — Cascade Equipment Rental,-1575.46
T10308,2026-07-05,Customer payment — Maple Grove Clinic,14829.16
T10050,2026-07-05,Customer payment — Silverline Technologies,3686.87
T10016,2026-07-05,Payment — Acme Supply Co,-4479.44
T10043,2026-07-05,Customer payment — Whitfield Manufacturing,10302.82
T10274,2026-07-05,Customer payment — Brightline Media,3958.55
T10252,2026-07-06,Payment — Meridian Logistics,-1252.69
T10257,2026-07-06,Payment — Pinnacle Office Solutions,-5558.27
T10389,2026-07-06,Payment — Beacon Legal Group,-9194.63
T10332,2026-07-06,Payment — Cascade Equipment Rental,-6808.86
T10372,2026-07-06,Customer payment — Cedarwood Realty,8930.91
T10167,2026-07-06,Payment — Cascade Equipment Rental,-6055.85
T10084,2026-07-06,Payment — Cascade Equipment Rental,-535.63
T10381,2026-07-06,Payment — NorthStar Bank Fees,-2813.12
T10318,2026-07-06,Customer payment — Granite Construction,2274.03
T10347,2026-07-06,Customer payment — Granite Construction,10546.29
T10407,2026-07-06,Customer payment — Whitfield Manufacturing,1789.61
T10067,2026-07-06,Payment — Pinnacle Office Solutions,-4481.78
T10296,2026-07-06,Customer payment — Brightline Media,5231.53
T10161,2026-07-06,Customer payment — Whitfield Manufacturing,700.85
T10381-DUP,2026-07-06,Payment — NorthStar Bank Fees,-2813.12
T10041,2026-07-07,Payment — Acme Supply Co,-3750.22
T10317,2026-07-07,Payment — Cascade Equipment Rental,-822.9
T10253,2026-07-07,Customer payment — Cedarwood Realty,16614.9
T10321,2026-07-07,Customer payment — Silverline Technologies,5450.9
T10110,2026-07-07,Payment — Beacon Legal Group,-5418.88
T10404,2026-07-07,Customer payment — Whitfield Manufacturing,16037.87
T10178,2026-07-07,Payment — NorthStar Bank Fees,-5215.88
T10139,2026-07-07,Payment — Vertex IT Services,-6056.95
T10270,2026-07-07,Customer payment — Coastal Foods Inc,17834.57
T10007,2026-07-07,Payment — Vertex IT Services,-7208.13
T10272,2026-07-07,Payment — Summit Payroll Services,-9111.14
T10071,2026-07-07,Customer payment — Silverline Technologies,13457.2
T10294,2026-07-08,Payment — Riverside Property Mgmt,-8300.46
T10412,2026-07-08,Payment — Summit Payroll Services,-479.0
T10384,2026-07-08,Customer payment — Maple Grove Clinic,4721.89
