gl_txn_id,bank_txn_id,match_type,amount,gl_date,bank_date,variance
T10418,T10418,exact,-5212.55,2026-07-01,2026-07-01,
T10075-DUP,T10075,exact,2226.75,2026-07-01,2026-07-01,
T10375,T10375,exact,-3813.11,2026-07-01,2026-07-01,
T10140,T10140,exact,758.27,2026-07-01,2026-07-01,
T10142,T10142,exact,4673.52,2026-07-01,2026-07-01,
T10013,T10013,exact,-6790.66,2026-07-01,2026-07-01,
T10373,T10373,exact,1701.13,2026-07-01,2026-07-01,
T10197,T10197,exact,-6779.85,2026-07-01,2026-07-01,
T10193,T10193,exact,-3847.94,2026-07-01,2026-07-01,
T10065,T10065,exact,-458.83,2026-07-01,2026-07-01,
T10229,T10229,exact,8457.21,2026-07-01,2026-07-01,
T10241,T10241,exact,-6372.59,2026-07-01,2026-07-01,
T10393,T10393,exact,13135.24,2026-07-01,2026-07-01,
T10352,T10352,exact,-6720.12,2026-07-01,2026-07-01,
T10212,T10212,exact,11283.98,2026-07-02,2026-07-02,
T10047,T10047,exact,-7156.23,2026-07-02,2026-07-02,
T10105,T10105,exact,-916.56,2026-07-02,2026-07-02,
T10411,T10411,exact,11157.16,2026-07-02,2026-07-02,
T10385,T10385,exact,-3706.75,2026-07-02,2026-07-02,
T10049,T10049,exact,9975.9,2026-07-02,2026-07-02,
T10090,T10090,exact,-7184.01,2026-07-02,2026-07-02,
T10419,T10419,exact,16883.52,2026-07-02,2026-07-02,
T10132,T10132,exact,-2669.02,2026-07-02,2026-07-02,
T10349,T10349,exact,6184.98,2026-07-02,2026-07-02,
T10371,T10371,exact,-4555.6,2026-07-02,2026-07-02,
T10181,T10181,exact,-9048.11,2026-07-02,2026-07-02,
T10166,T10166,exact,17299.38,2026-07-02,2026-07-02,
T10174,T10174,exact,16265.12,2026-07-02,2026-07-02,
T10008,T10008,exact,11496.78,2026-07-02,2026-07-02,
T10392,T10392,exact,6546.33,2026-07-03,2026-07-03,
T10346,T10346,exact,-4203.13,2026-07-03,2026-07-03,
T10293,T10293,exact,-4924.58,2026-07-03,2026-07-03,
T10292,T10292,exact,-6090.88,2026-07-03,2026-07-03,
T10206,T10206,exact,-4876.48,2026-07-03,2026-07-03,
T10268,T10268,exact,-6404.32,2026-07-03,2026-07-03,
T10135,T10135,exact,-6059.41,2026-07-03,2026-07-03,
T10093,T10093,exact,-8432.19,2026-07-03,2026-07-03,
T10248,T10248,exact,-5923.25,2026-07-03,2026-07-03,
T10146,T10146,exact,-797.08,2026-07-03,2026-07-03,
T10256,T10256,exact,-1311.79,2026-07-04,2026-07-04,
T10046,T10046,exact,5926.78,2026-07-04,2026-07-04,
T10066,T10066,exact,6083.69,2026-07-04,2026-07-04,
T10199,T10199,exact,-8522.29,2026-07-04,2026-07-04,
T10388,T10388,exact,-6686.33,2026-07-04,2026-07-04,
T10327,T10327,exact,1886.1,2026-07-04,2026-07-04,
T10359,T10359,exact,-4854.76,2026-07-04,2026-07-04,
T10018,T10018,exact,-2764.54,2026-07-04,2026-07-04,
T10338,T10338,exact,-3464.54,2026-07-04,2026-07-04,
T10390,T10390,exact,-6813.25,2026-07-04,2026-07-04,
T10225,T10225,exact,5430.69,2026-07-05,2026-07-05,
T10111,T10111,exact,10217.12,2026-07-05,2026-07-05,
T10127,T10127,exact,1239.51,2026-07-05,2026-07-05,
T10159,T10159,exact,3764.29,2026-07-05,2026-07-05,
T10149,T10149,exact,-9419.58,2026-07-05,2026-07-05,
T10235,T10235,exact,-553.91,2026-07-05,2026-07-05,
T10079,T10079,exact,-1575.46,2026-07-05,2026-07-05,
T10308,T10308,exact,14829.16,2026-07-05,2026-07-05,
T10050,T10050,exact,3686.87,2026-07-05,2026-07-05,
T10016,T10016,exact,-4479.44,2026-07-05,2026-07-05,
T10274,T10274,exact,3958.55,2026-07-05,2026-07-05,
T10252,T10252,exact,-1252.69,2026-07-06,2026-07-06,
T10389,T10389,exact,-9194.63,2026-07-06,2026-07-06,
T10332,T10332,exact,-6808.86,2026-07-06,2026-07-06,
T10372,T10372,exact,8930.91,2026-07-06,2026-07-06,
T10167,T10167,exact,-6055.85,2026-07-06,2026-07-06,
T10084,T10084,exact,-535.63,2026-07-06,2026-07-06,
T10381,T10381,exact,-2813.12,2026-07-06,2026-07-06,
T10318,T10318,exact,2274.03,2026-07-06,2026-07-06,
T10347,T10347,exact,10546.29,2026-07-06,2026-07-06,
T10407,T10407,exact,1789.61,2026-07-06,2026-07-06,
T10067,T10067,exact,-4481.78,2026-07-06,2026-07-06,
T10296,T10296,exact,5231.53,2026-07-06,2026-07-06,
T10041,T10041,exact,-3750.22,2026-07-07,2026-07-07,
T10317,T10317,exact,-822.9,2026-07-07,2026-07-07,
T10253,T10253,exact,16614.9,2026-07-07,2026-07-07,
T10321,T10321,exact,5450.9,2026-07-07,2026-07-07,
T10110,T10110,exact,-5418.88,2026-07-07,2026-07-07,
T10178,T10178,exact,-5215.88,2026-07-07,2026-07-07,
T10139,T10139,exact,-6056.95,2026-07-07,2026-07-07,
T10270,T10270,exact,17834.57,2026-07-07,2026-07-07,
T10007,T10007,exact,-7208.13,2026-07-07,2026-07-07,
T10272,T10272,exact,-9111.14,2026-07-07,2026-07-07,
T10071,T10071,exact,13457.2,2026-07-07,2026-07-07,
T10294,T10294,exact,-8300.46,2026-07-08,2026-07-08,
T10412,T10412,exact,-479.0,2026-07-08,2026-07-08,
T10384,T10384,exact,4721.89,2026-07-08,2026-07-08,
T10063,T10063,exact,-1683.02,2026-07-08,2026-07-08,
T10301,T10301,exact,-9448.29,2026-07-08,2026-07-08,
T10406,T10406,exact,13236.57,2026-07-08,2026-07-08,
T10164,T10164,exact,12795.86,2026-07-08,2026-07-08,
T10377,T10377,exact,-3068.04,2026-07-08,2026-07-08,
T10179,T10179,exact,-989.6,2026-07-08,2026-07-08,
T10131,T10131,exact,4322.85,2026-07-08,2026-07-08,
T10379,T10379,exact,-1995.46,2026-07-08,2026-07-08,
T10094,T10094,exact,-8724.93,2026-07-08,2026-07-08,
T10342,T10342,exact,5323.93,2026-07-08,2026-07-08,
T10025,T10025,exact,5022.78,2026-07-08,2026-07-08,
T10023,T10023,exact,-2068.19,2026-07-09,2026-07-09,
T10010,T10010,exact,-6897.75,2026-07-09,2026-07-09,
T10214,T10214,exact,3899.52,2026-07-09,2026-07-09,
T10158,T10158,exact,-5243.54,2026-07-09,2026-07-09,
T10376,T10376,exact,-2515.85,2026-07-09,2026-07-09,
T10060,T10060,exact,-1052.46,2026-07-09,2026-07-09,
T10267,T10267,exact,-8338.46,2026-07-09,2026-07-09,
T10081,T10081,exact,9215.47,2026-07-09,2026-07-09,
T10189,T10189,exact,-1714.95,2026-07-10,2026-07-10,
T10260,T10260,exact,12012.91,2026-07-10,2026-07-10,
T10009,T10009,exact,-3618.35,2026-07-10,2026-07-10,
T10228,T10228,exact,-9122.37,2026-07-10,2026-07-10,
T10370,T10370,exact,-7616.8,2026-07-10,2026-07-10,
T10143,T10143,exact,-5806.34,2026-07-10,2026-07-10,
T10386,T10386,exact,17331.75,2026-07-10,2026-07-10,
T10337,T10337,exact,-1869.93,2026-07-10,2026-07-10,
T10306,T10306,exact,6717.74,2026-07-10,2026-07-10,
T10395,T10395,exact,17923.89,2026-07-10,2026-07-10,
T10021,T10021,exact,-1676.29,2026-07-10,2026-07-10,
T10313,T10313,exact,-8268.57,2026-07-11,2026-07-11,
T10211,T10211,exact,-7929.89,2026-07-11,2026-07-11,
T10109,T10109,exact,-674.31,2026-07-11,2026-07-11,
T10022,T10022,exact,-636.6,2026-07-11,2026-07-11,
T10265,T10265,exact,-8501.27,2026-07-11,2026-07-11,
T10259,T10259,exact,-1985.1,2026-07-11,2026-07-11,
T10112-DUP,T10112,exact,-7013.95,2026-07-12,2026-07-12,
T10410,T10410,exact,13293.65,2026-07-12,2026-07-12,
T10073,T10073,exact,-3385.17,2026-07-12,2026-07-12,
T10175,T10175,exact,-3190.15,2026-07-12,2026-07-12,
T10168,T10168,exact,-921.7,2026-07-12,2026-07-12,
T10062,T10062,exact,-998.23,2026-07-12,2026-07-12,
T10336,T10336,exact,16776.25,2026-07-12,2026-07-12,
T10255,T10255,exact,-2533.97,2026-07-12,2026-07-12,
T10288,T10288,exact,-9423.05,2026-07-12,2026-07-12,
T10130,T10130,exact,14471.69,2026-07-12,2026-07-12,
T10195,T10195,exact,-117.27,2026-07-12,2026-07-12,
T10217,T10217,exact,-4496.53,2026-07-12,2026-07-12,
T10115,T10115,exact,7488.01,2026-07-12,2026-07-12,
T10351,T10351,exact,15972.07,2026-07-13,2026-07-13,
T10315,T10315,exact,-7401.4,2026-07-13,2026-07-13,
T10226,T10226,exact,-6253.39,2026-07-13,2026-07-13,
T10344,T10344,exact,15860.97,2026-07-13,2026-07-13,
T10258,T10258,exact,-4034.9,2026-07-13,2026-07-13,
T10237,T10237,exact,-3625.98,2026-07-13,2026-07-13,
T10177,T10177,exact,-6438.53,2026-07-13,2026-07-13,
T10107,T10107,exact,-352.41,2026-07-13,2026-07-13,
T10133,T10133,exact,-7236.14,2026-07-13,2026-07-13,
T10136,T10136,exact,-1804.96,2026-07-13,2026-07-13,
T10114,T10114,exact,-1522.09,2026-07-13,2026-07-13,
T10118,T10118,exact,4898.85,2026-07-13,2026-07-13,
T10208,T10208,exact,-9039.11,2026-07-14,2026-07-14,
T10205,T10205,exact,-555.5,2026-07-14,2026-07-14,
T10374,T10374,exact,9267.2,2026-07-14,2026-07-14,
